City,Cloudiness,Country,Humidity,Lat,Lon,Temp,Wind Speed,Latitude Random,Longitude Random,Lat Diff,Lon Diff
Sioux Lookout,40.0,CA,48.0,50.1,-91.92,60.8,9.17,56.31370809215255,-90.93830267002588,6.213708092152551,0.981697329974125
Arraial do Cabo,100.0,BR,97.0,-22.97,-42.02,71.01,8.38,-34.08339571980313,-36.43007282765521,-11.11339571980313,5.589927172344794
Mar del Plata,46.0,AR,44.0,-46.43,-67.52,52.3,24.7,-50.476491780360355,-46.79245470305608,-4.0464917803603555,20.727545296943916
Assiniboia,100.0,CA,93.0,49.63,-105.99,32.23,13.28,49.00742699248633,-106.60822607255182,-0.6225730075136724,-0.6182260725518205
Tamandare,10.0,BR,74.0,-8.28,-70.75,74.25,1.81,-8.8410160044712,-33.74382257602329,-0.5610160044712007,37.00617742397671
Rikitea,100.0,PF,82.0,-23.12,-134.97,67.35,12.89,-22.109280244145353,-139.98352447369203,1.0107197558546481,-5.01352447369203
Lakes Entrance,19.0,AU,53.0,-37.88,147.99,58.87,1.99,-39.8687109307476,151.78957851465339,-1.988710930747601,3.7995785146533763
Didwana,0.0,IN,30.0,27.4,74.58,80.81,4.97,27.280289478494495,74.50074835170929,-0.11971052150550321,-0.07925164829070752
Mbaiki,100.0,CF,98.0,3.87,17.99,68.84,1.99,3.438084458031028,17.536387465088467,-0.43191554196897197,-0.45361253491153164
Avarua,100.0,CK,60.0,-21.21,-159.78,73.4,11.41,-65.41853626617116,-164.64873968005188,-44.20853626617116,-4.868739680051874
Slave Lake,75.0,CA,63.0,55.28,-114.77,30.2,10.29,55.98547903365176,-114.27336423792613,0.7054790336517556,0.49663576207386484
Longyearbyen,75.0,SJ,86.0,78.22,15.64,33.8,5.82,78.32363424230763,15.248024001703072,0.10363424230763485,-0.3919759982969282
Severo-Kurilsk,100.0,RU,89.0,50.68,156.12,46.15,44.69,31.006874597343156,165.68760146232978,-19.673125402656844,9.567601462329776
Khatanga,79.0,RU,90.0,71.98,102.47,18.43,3.65,74.78840544959345,101.44036135411261,2.808405449593451,-1.0296386458873883
Barrow,1.0,US,58.0,39.51,-90.4,56.84,4.7,89.12173228237569,-151.21172640744408,49.61173228237569,-60.81172640744407
Hilo,1.0,US,52.0,19.71,-155.08,76.05,11.41,11.343244909117615,-156.26791737332766,-8.366755090882386,-1.1879173733276502
Cabo San Lucas,5.0,MX,58.0,22.89,-109.91,83.3,4.7,9.858636690645184,-121.11062312798666,-13.031363309354816,-11.20062312798666
Ushuaia,75.0,AR,80.0,-54.81,-68.31,39.2,34.45,-83.9210636865376,-28.727200011466806,-29.11106368653759,39.582799988533196
Dikson,94.0,RU,86.0,73.51,80.55,21.72,13.62,83.3840278189418,89.76455972688501,9.874027818941798,9.214559726885014
Bredasdorp,97.0,ZA,66.0,-34.53,20.04,55.18,9.17,-83.64106020894906,24.531182430137875,-49.111060208949056,4.491182430137876
Rikitea,100.0,PF,82.0,-23.12,-134.97,67.35,12.89,-77.7922314562131,-126.89916484922452,-54.6722314562131,8.07083515077548
Bosaso,0.0,SO,72.0,11.28,49.18,83.71,12.24,10.706771689672038,48.148992422086906,-0.573228310327961,-1.031007577913094
Sao Filipe,18.0,CV,84.0,14.9,-24.5,77.14,13.6,11.437651859472084,-30.617173013001377,-3.462348140527917,-6.117173013001377
